name,code,link,source,color_hex,color_r,color_g,color_b
Avante-Garde,06A-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06A-4|,clarkkensington,#a2726c,162,114,108
Laughing Maiden,06B-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06B-1|,clarkkensington,#f3e7e7,243,231,231
Radish Rose,06B-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06B-3|,clarkkensington,#eaaeac,234,174,172
Warm Coral,06B-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06B-4|,clarkkensington,#e39a9b,227,154,155
Captured Heart,06B-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06B-5|,clarkkensington,#ce7470,206,116,112
Raspberry Sorbet,06B-6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06B-6|,clarkkensington,#aa5550,170,85,80
Crazy in Love,06C-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06C-1|,clarkkensington,#f4dddd,244,221,221
Sitting Pretty,06C-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06C-2|,clarkkensington,#f1c4c6,241,196,198
Raspberry Macaroon,06C-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06C-3|,clarkkensington,#eaa8af,234,168,175
Candy Cane Lane,06C-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06C-5|,clarkkensington,#c27179,194,113,121
Cherie,06C-6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06C-6|,clarkkensington,#b15e67,177,94,103
Divine Red,06C-7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06C-7|,clarkkensington,#983f49,152,63,73
Pink Grapefruit,06D-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06D-2|,clarkkensington,#f5bec0,245,190,192
Bright Begonia,06D-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:06D-3|,clarkkensington,#ef9fa8,239,159,168
Believe,07A-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07A-1|,clarkkensington,#f5e4e3,245,228,227
Thinking of You,07A-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07A-2|,clarkkensington,#e3c0ba,227,192,186
Stay Forever,07A-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07A-3|,clarkkensington,#ca9c97,202,156,151
