name,code,link,source,color_hex,color_r,color_g,color_b
Flamenco,CSP-1195,https://www.benjaminmoore.com/en-us/paint-colors/color/csp-1195/flamenco,benjaminmoore,#a02432,160,36,50
Rapture,CC-66,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-66/rapture,benjaminmoore,#9c2e3b,156,46,59
Pink Parfait,2004-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2004-60/pink-parfait,benjaminmoore,#fcccd6,252,204,214
May Flowers,1324,https://www.benjaminmoore.com/en-us/paint-colors/color/1324/may-flowers,benjaminmoore,#fac6d1,250,198,209
Baby Girl,2004-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2004-50/baby-girl,benjaminmoore,#f5acbc,245,172,188
Pink Starburst,2004-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2004-40/pink-starburst,benjaminmoore,#e47f90,228,127,144
Santa's Suit,1336,https://www.benjaminmoore.com/en-us/paint-colors/color/1336/santas-suit,benjaminmoore,#bc4550,188,69,80
Umbria Red,1316,https://www.benjaminmoore.com/en-us/paint-colors/color/1316/umbria-red,benjaminmoore,#a54048,165,64,72
Caliente,AF-290,https://www.benjaminmoore.com/en-us/paint-colors/color/af-290/caliente,benjaminmoore,#8a2728,138,39,40
Ribbon Pink,2087-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2087-60/ribbon-pink,benjaminmoore,#fad4db,250,212,219
Pure Pink,1325,https://www.benjaminmoore.com/en-us/paint-colors/color/1325/pure-pink,benjaminmoore,#fab6c5,250,182,197
Bubble Bath,1326,https://www.benjaminmoore.com/en-us/paint-colors/color/1326/bubble-bath,benjaminmoore,#f7a2b4,247,162,180
Italiano Rose,2087-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2087-30/italiano-rose,benjaminmoore,#d35361,211,83,97
Raspberry Pudding,2004-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2004-30/raspberry-pudding,benjaminmoore,#ca4f5a,202,79,90
Rose Parade,2086-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2086-20/rose-parade,benjaminmoore,#c0324a,192,50,74
Exotic Red,2086-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2086-10/exotic-red,benjaminmoore,#b32735,179,39,53
Voile Pink,2000-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2000-70/voile-pink,benjaminmoore,#fce2e6,252,226,230
Light Chiffon Pink,2000-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2000-60/light-chiffon-pink,benjaminmoore,#ffcdd8,255,205,216
Strawberry Sorbet,2087-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2087-50/strawberry-sorbet,benjaminmoore,#f6b6c3,246,182,195
Autumn Red,2087-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2087-40/autumn-red,benjaminmoore,#eb8a99,235,138,153
Watermelon Red,2087-20,https://www.benjaminmoore.com/en-us/paint-colors/color/2087-20/watermelon-red,benjaminmoore,#c53d46,197,61,70
Neon Red,2087-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2087-10/neon-red,benjaminmoore,#b82d33,184,45,51
Lyons Red,CC-68,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-68/lyons-red,benjaminmoore,#a63841,166,56,65
Elephant Pink,2087-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2087-70/elephant-pink,benjaminmoore,#fae7e9,250,231,233
Confetti,1311,https://www.benjaminmoore.com/en-us/paint-colors/color/1311/confetti,benjaminmoore,#f7b4be,247,180,190
Blush Tone,2000-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2000-50/blush-tone,benjaminmoore,#fdacbd,253,172,189
Strawberry Shortcake,2000-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2000-40/strawberry-shortcake,benjaminmoore,#f57f94,245,127,148
Poppy,1315,https://www.benjaminmoore.com/en-us/paint-colors/color/1315/poppy,benjaminmoore,#bd3a42,189,58,66
Ladybug Red,1322,https://www.benjaminmoore.com/en-us/paint-colors/color/1322/ladybug-red,benjaminmoore,#b03e43,176,62,67
Heritage Red,HC-181,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-181/heritage-red,benjaminmoore,#990a14,153,10,20
Marshmallow Bunny,2001-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2001-70/marshmallow-bunny,benjaminmoore,#fee2e7,254,226,231
Country Pink,2001-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2001-60/country-pink,benjaminmoore,#ffcdd8,255,205,216
Full Bloom,2001-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2001-50/full-bloom,benjaminmoore,#feacbd,254,172,189
Pink Popsicle,2001-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2001-40/pink-popsicle,benjaminmoore,#f57e92,245,126,146
Milano Red,1313,https://www.benjaminmoore.com/en-us/paint-colors/color/1313/milano-red,benjaminmoore,#d85c66,216,92,102
Currant Red,1323,https://www.benjaminmoore.com/en-us/paint-colors/color/1323/currant-red,benjaminmoore,#a03d41,160,61,65
Bonaparte,CC-64,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-64/bonaparte,benjaminmoore,#9f3e3e,159,62,62
Pleasing Pink,2003-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2003-70/pleasing-pink,benjaminmoore,#fde2e6,253,226,230
Exotic Pink,2003-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2003-60/exotic-pink,benjaminmoore,#fecdd6,254,205,214
Coral Pink,2003-50,https://www.benjaminmoore.com/en-us/paint-colors/color/2003-50/coral-pink,benjaminmoore,#f9abba,249,171,186
True Pink,2003-40,https://www.benjaminmoore.com/en-us/paint-colors/color/2003-40/true-pink,benjaminmoore,#ed7e8e,237,126,142
Red Tulip,2000-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2000-30/red-tulip,benjaminmoore,#e04c5b,224,76,91
Spring Tulips,2001-30,https://www.benjaminmoore.com/en-us/paint-colors/color/2001-30/spring-tulips,benjaminmoore,#e14b5a,225,75,90
Ruby Red,2001-10,https://www.benjaminmoore.com/en-us/paint-colors/color/2001-10/ruby-red,benjaminmoore,#ca2c2c,202,44,44
Pink Cadillac,2002-70,https://www.benjaminmoore.com/en-us/paint-colors/color/2002-70/pink-cadillac,benjaminmoore,#fde7e8,253,231,232
Sweet 16 Pink,2002-60,https://www.benjaminmoore.com/en-us/paint-colors/color/2002-60/sweet-pink,benjaminmoore,#ffd3d8,255,211,216
